Species,Relative_abundance,Relative_altitude
Red,0.4116,0.05
Red,0.33729,0.1
Red,0,0.15
Red,0.44112,0.2
Red,0.36671,0.25
Red,0.42787,0.3
Red,0.33357,0.35
Red,0,0.4
Red,0.38993,0.45
Red,0.43457,0.5
Red,0.43481,0.55
Red,0.41065,0.6
Red,0,0.65
Red,0.45727,0.7
Red,0.4482,0.75
Red,0.41116,0.8
Red,0.35443,0.85
Red,0,0.9
Red,0.42982,0.95
Red,0.46292,1
Pink,0.36744,0.05
Pink,0.47911,0.1
Pink,0,0.15
Pink,0.4041,0.2
Pink,0.50708,0.25
Pink,0.3738,0.3
Pink,0.3364,0.35
Pink,0,0.4
Pink,0.35158,0.45
Pink,0.37408,0.5
Pink,0.42257,0.55
Pink,0.39267,0.6
Pink,0,0.65
Pink,0.37459,0.7
Pink,0.42947,0.75
Pink,0.41256,0.8
Pink,0.41039,0.85
Pink,0,0.9
Pink,0.43405,0.95
Pink,0.41447,1
Black,0.22096,0.05
Black,0.1836,0.1
Black,0,0.15
Black,0.15479,0.2
Black,0.12622,0.25
Black,0.19833,0.3
Black,0.33003,0.35
Black,0,0.4
Black,0.25848,0.45
Black,0.19135,0.5
Black,0.14262,0.55
Black,0.19668,0.6
Black,0,0.65
Black,0.16814,0.7
Black,0.12233,0.75
Black,0.17629,0.8
Black,0.23518,0.85
Black,0,0.9
Black,0.13612,0.95
Black,0.12261,1
